,uid,mean_score,tweet_count,final_score,normalized_score
55,161,0.16442233114990965,32,0.5749039241396047,0.48165209759242533
190,43,0.18710668789372092,20,0.5696505095405469,0.47664740577797937
178,34,0.16775927567408752,27,0.5590082150249198,0.4665089704336922
118,83,0.155221853084411,33,0.5473682152746363,0.45542006618447417
126,187,0.1606700178968607,29,0.5464704441824143,0.454564800042469
42,70,0.16125787495162178,28,0.5430029698770763,0.4512614932225887
201,212,0.20024185142138776,13,0.5284497256893429,0.43739727202195366
195,231,0.20014789556376716,13,0.528201770794629,0.437161056545614
10,92,0.10023039394086979,190,0.5264374347782763,0.4354802529744365
133,88,0.10006532700816355,182,0.5212889354285767,0.4305755091994557
12,121,0.1001991711627731,178,0.5197717582467775,0.42913016273390614
128,11,0.10021249738064614,176,0.518714891517387,0.4281233333337501
21,101,0.10007998862006766,177,0.5185928387448857,0.42800705914675224
164,97,0.20110418773988648,12,0.5158220571262461,0.42536746011550314
26,151,0.2008843936134929,12,0.515258296322979,0.4248303905535611
23,81,0.10014820426320044,165,0.5119563972193174,0.4216848197815178
31,19,0.10796055038881532,112,0.5103713908095654,0.42017485546113975
196,46,0.19871604386408534,12,0.5096965890264843,0.419532002151834
69,180,0.1579609680378548,24,0.5084567412898293,0.4183508549756889
150,68,0.21134683256965,10,0.5067875707396725,0.4167607112640576
175,218,0.10007170201682761,156,0.5059871235566503,0.4159981612331718
8,90,0.11613449722182179,76,0.5044656586964011,0.41454873008920273
208,51,0.15254180331561426,26,0.5027528989743829,0.41291706093397657
109,5,0.1807465267824741,15,0.5011357817410983,0.41137650607621407
102,132,0.20020661964099604,11,0.4974947604774879,0.40790786887452
96,79,0.10023051805444413,141,0.4967251133716059,0.4071746606918819
59,72,0.1912659784414739,12,0.4905875485077106,0.4013276786850788
221,61,0.1837808341793861,13,0.4850081574839153,0.39601244379168404
51,125,0.1618212439275836,19,0.48477312298051495,0.3957885369910498
177,34,0.18852868840019074,12,0.4835665381751355,0.3946390779135195
88,137,0.18253751520548503,13,0.481726967432792,0.3928866016025975
211,52,0.15508529031254475,21,0.47937521624747503,0.39064619401914114
5,86,0.10018011872942965,117,0.47792775209963484,0.38926726002567735
125,147,0.1004898325864935,111,0.4741611616360025,0.3856789986946391
