Username,Name,HotKey,UID,IsActive,FollowersCount,FollowingCount,TweetsCount,Emissions,IsVerified,IsNominated,Marketcap,ID,UserID,SubnetID,Version,CreatedAt,UpdatedAt,Avatar,Banner,Biography,Birthday,FriendsCount,IsPrivate,Joined,LikesCount,ListedCount,Location,PinnedTweetIDs,URL,Website,VerificationTweetID,VerificationTweetURL,VerificationTweetTimestamp,VerificationTweetText,Nominations
Nhan446320,Nhan,5FZh3Ze42FcmW43ycefYB3dJXuyvGxds2TEzZZXzmmSxTcYh,22,True,826,7,0,0.002069872,False,False,0,228,1876633342432681984,59,4,2024-12-26T15:34:19.686482Z,2025-01-11T06:23:28.328771Z,https://pbs.twimg.com/profile_images/1876637810981257216/IjPZCFTA_normal.jpg,,Chairman of BCB US,,0,False,0001-01-01T00:00:00Z,7,0,,[],,,1877628040076730634,https://twitter.com/Nhan446320/status/1877628040076730634,2025-01-10T08:06:24Z,5FZh3Ze42FcmW43ycefYB3dJXuyvGxds2TEzZZXzmmSxTcYh,0
BitcoinFuture43,BitcoinFutureNow,5EvbCr9dPRnHKhK11weHuGDKERQnjLuFt2y4j8qxZZVuCSvR,36,True,3,8,0,0.0026975040000000003,False,False,0,233,1875132360083070976,59,4,2024-12-28T12:39:48.648305Z,2025-01-11T06:25:32.333344Z,https://pbs.twimg.com/profile_images/1875133417018310656/T3PYpuVj_normal.jpg,https://pbs.twimg.com/profile_banners/1875132360083070976/1735901836,"Bitcoin believer, decentralization advocate, and tech enthusiast. Exploring the future of finance and technology—one block at a time. 🚀💰 #Bitcoin #Blockchain",,0,False,0001-01-01T00:00:00Z,8,0,,[],,,1875134493264363614,https://twitter.com/BitcoinFuture43/status/1875134493264363614,2025-01-03T10:57:56Z,5EvbCr9dPRnHKhK11weHuGDKERQnjLuFt2y4j8qxZZVuCSvR,0
MeharKashif80,mehar kashif,5CtzsJbJcXJaGvMtPgqEXLFXivJFggC396yV7B9CNPeFAExK,37,True,2,0,0,0.0,False,False,0,17,1463782432612704262,59,4,2024-12-14T16:52:31.054396Z,2025-01-11T06:25:38.500998Z,https://pbs.twimg.com/profile_images/1463782533091532805/whZYaA2H_normal.png,,23,,0,False,0001-01-01T00:00:00Z,0,0,,[],,,1875179141215211701,https://twitter.com/MeharKashif80/status/1875179141215211701,2025-01-03T13:55:21Z,"@getmasafi , I just joined the Arena 5CtzsJbJcXJaGvMtPgqEXLFXivJFggC396yV7B9CNPeFAExK",0
0xjackkk,0xkaka.eth,5DcmDCfCg6dSpXEBnKnxXLR9QSCtMaqL4gpT3k34uV8jtpnn,23,True,60,231,0,0.0063723140000000005,False,False,0,18,1303475034627825664,59,4,2024-12-14T18:37:21.668613Z,2025-01-11T06:23:40.708207Z,https://pbs.twimg.com/profile_images/1876794596115828736/RcH2OFzp_normal.jpg,https://pbs.twimg.com/profile_banners/1303475034627825664/1639136734,btc eth,,0,False,0001-01-01T00:00:00Z,231,0,,[],,,1875123281482928247,https://twitter.com/0xjackkk/status/1875123281482928247,2025-01-03T10:13:23Z,"@getmasafi, I just joined the Arena! Wallet: 5DcmDCfCg6dSpXEBnKnxXLR9QSCtMaqL4gpT3k34uV8jtpnn",0
phonghoanghp123,mai phong🐬,5GMx6BeBEQiBWDo6JCntgDMGns28SxwNKqPGkqRBxRT3zLGB,67,True,34,97,0,0.00113492,False,False,0,45,1526521812892278784,59,4,2024-12-15T16:47:51.715889Z,2025-01-11T01:23:29.230346Z,https://pbs.twimg.com/profile_images/1526524104865505280/gweMPuH1_normal.jpg,https://pbs.twimg.com/profile_banners/1526521812892278784/1674619902,Phong mai,,0,False,0001-01-01T00:00:00Z,97,0,,[],,,1875448312763134368,https://twitter.com/phonghoanghp123/status/1875448312763134368,2025-01-04T07:44:56Z,5GMx6BeBEQiBWDo6JCntgDMGns28SxwNKqPGkqRBxRT3zLGB,0
nickimibnbprice,nicki minaj,5FqQhhkScTQ79pc2vJAyU1Zbhc11KG7Bi5MG7xTg7gCUis8P,181,True,0,0,0,0.0,False,False,0,131,816106112,59,4,2024-12-22T14:26:16.438082Z,2025-01-11T03:26:23.512354Z,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,0,False,0001-01-01T00:00:00Z,0,0,,[],,,1869604544512131388,https://twitter.com/nickimibnbprice/status/1869604544512131388,2024-12-19T04:43:53Z,5FqQhhkScTQ79pc2vJAyU1Zbhc11KG7Bi5MG7xTg7gCUis8P,0
tbhitstrue,Katy Perry,5F24rA8y9uCveVvMgCEoS3hhLF6VuEsnGeRp5YenN22r2HF9,93,True,6,0,0,0.002524535,False,False,0,164,140583247,59,4,2024-12-23T10:35:46.168157Z,2025-01-11T04:53:32.331752Z,https://pbs.twimg.com/profile_images/876573383/lucas_normal.jpg,,,,0,False,0001-01-01T00:00:00Z,0,0,,[],,,1869603931812426167,https://twitter.com/tbhitstrue/status/1869603931812426167,2024-12-19T04:41:27Z,5F24rA8y9uCveVvMgCEoS3hhLF6VuEsnGeRp5YenN22r2HF9,0
Trunkie346133,Trunkie,5FL4bZow8pWy57J93pszje1te4ACL2VoQfsK66jKMWb3AfVG,149,True,2,1,0,0.0,False,False,0,112,1873357651809370112,59,4,2024-12-22T01:00:19.317851Z,2025-01-11T05:03:40.858123Z,https://pbs.twimg.com/profile_images/1873357845476855808/AhH1hQFk_normal.jpg,https://pbs.twimg.com/profile_banners/1873357651809370112/1735478414,I am about to puke from this banana uggh,,0,False,0001-01-01T00:00:00Z,1,0,,[],,,1873358406758846578,https://twitter.com/Trunkie346133/status/1873358406758846578,2024-12-29T13:20:24Z,5FL4bZow8pWy57J93pszje1te4ACL2VoQfsK66jKMWb3AfVG,0
Nguyenlam735353,Nguyễn lam,5FKcBexKgHowtve4PWFMWCww29awjpaUJqdr8TJo5BrDmYhf,150,True,42,80,0,0.0010788050000000002,False,False,0,243,1707778391729209344,59,4,2024-12-30T04:23:50.50979Z,2025-01-11T05:03:47.225392Z,https://pbs.twimg.com/profile_images/1714292258479144961/yFeUEiWQ_normal.jpg,,,,0,False,0001-01-01T00:00:00Z,80,0,,[],,,1875502390033719706,https://twitter.com/Nguyenlam735353/status/1875502390033719706,2025-01-04T11:19:49Z,5FKcBexKgHowtve4PWFMWCww29awjpaUJqdr8TJo5BrDmYhf,0
Robin_T100,"Robin💥 (τ,τ)",5FsNPLQy3daT7EjdxqpRcNKD9Ur7MM2BNJru9x6ZvDGUQWJN,24,True,10829,14054,0,0.0038026680000000004,False,False,0,252,20510925,59,4,2024-12-31T23:49:13.889011Z,2025-01-10T23:42:59.705869Z,https://pbs.twimg.com/profile_images/1712436128299556865/dFveOJo2_normal.jpg,https://pbs.twimg.com/profile_banners/20510925/1722615487,"τeam builder, Founder & Project Advisor

Founded 4 startups = $100m revenue

Dad of 3, Cyclist, Custard - $FTM | $LTC | $BTC |  $TAO | @SonicLabs",,0,False,0001-01-01T00:00:00Z,14054,0,,[],,,1872327689744548024,https://twitter.com/Robin_T100/status/1872327689744548024,2024-12-26T17:04:42Z,5FsNPLQy3daT7EjdxqpRcNKD9Ur7MM2BNJru9x6ZvDGUQWJN,0
Fish11217542,Fish,5FL9mmAttDSMHBts3Ktx4Q4iPHSmhdsrnwK5kMe8k87tui87,68,True,58,0,0,0.0,False,False,0,43,1873130418024935424,59,4,2024-12-15T16:47:08.129637Z,2025-01-11T04:49:20.082697Z,https://pbs.twimg.com/profile_images/1873130941968736256/I540VLiA_normal.jpg,https://pbs.twimg.com/profile_banners/1873130418024935424/1735425273,Fishing is fun,,0,False,0001-01-01T00:00:00Z,0,0,,[],,,1873131619940442341,https://twitter.com/Fish11217542/status/1873131619940442341,2024-12-28T22:19:13Z,5FL9mmAttDSMHBts3Ktx4Q4iPHSmhdsrnwK5kMe8k87tui87,0
ThuTrun24408296,Thu Trung,5E6v1dtmY6HGBtLr8NvWzo2PcEfrd1PpTCFokfMDopD1Aa24,94,True,48,112,0,0.00032202900000000004,False,False,0,69,1591610840330878976,59,4,2024-12-17T01:46:16.065061Z,2025-01-11T04:53:38.047639Z,https://pbs.twimg.com/profile_images/1591610884249436160/pk-Zlicw_normal.jpg,https://pbs.twimg.com/profile_banners/1591610840330878976/1674616098,,,0,False,0001-01-01T00:00:00Z,112,0,,[],,,1873653684556496925,https://twitter.com/ThuTrun24408296/status/1873653684556496925,2024-12-30T08:53:43Z,@getmasafi 5E6v1dtmY6HGBtLr8NvWzo2PcEfrd1PpTCFokfMDopD1Aa24,0
helenaaiiii,helenaai,5GbpZzdKqCCCT5QjiSbPDj9WHvJxV9Qo6pjDPwHaN1ez5Ay6,190,True,125,1,0,0.00034159800000000003,False,False,0,153,1876276624515268608,59,4,2024-12-23T07:06:08.328212Z,2025-01-11T05:10:32.390148Z,https://pbs.twimg.com/profile_images/1876278155327262720/c_AwPIv9_normal.jpg,,,,0,False,0001-01-01T00:00:00Z,1,0,,[],,,1876574579982045275,https://twitter.com/helenaaiiii/status/1876574579982045275,2025-01-07T10:20:19Z,"Hi!  I just joined the Arena! Wallet:
5GbpZzdKqCCCT5QjiSbPDj9WHvJxV9Qo6pjDPwHaN1ez5Ay6",0
CryptoBullAI,CryptoBull,5HjJumbzc99BPbLJFjy8rDkZSwJSEBMFZ1H34bgPT7V8QHfM,26,True,2715,54,0,0.002936162,False,False,0,16,1871941172433915905,59,4,2024-12-14T15:50:07.723638Z,2025-01-11T06:23:59.362505Z,https://pbs.twimg.com/profile_images/1871944190839414784/jFS4zK_Q_normal.jpg,https://pbs.twimg.com/profile_banners/1871941172433915905/1735141249,CryptoBull is your go-to AI for the latest tips and insights on cryptocurrency investments. Get expert advice on which coins to buy and when to make your move!,,0,False,0001-01-01T00:00:00Z,54,0,,[],,,1872566858139971786,https://twitter.com/CryptoBullAI/status/1872566858139971786,2024-12-27T08:55:04Z,5HjJumbzc99BPbLJFjy8rDkZSwJSEBMFZ1H34bgPT7V8QHfM,0
Martin310Nils,Nils,5DUdsErSFHXVi8A6rR1B7JSaiwFCEbcQT1apqnTeq9HjAGrp,27,True,112,0,0,0.0,False,False,0,15,1871671205788557312,59,4,2024-12-14T15:49:35.634827Z,2025-01-11T06:24:06.361497Z,https://pbs.twimg.com/profile_images/1871859085420675072/s9dAMqZ__normal.jpg,,I like candles $TAO,,0,False,0001-01-01T00:00:00Z,0,0,,[],,,1871672000181424164,https://twitter.com/Martin310Nils/status/1871672000181424164,2024-12-24T21:39:13Z,5DUdsErSFHXVi8A6rR1B7JSaiwFCEbcQT1apqnTeq9HjAGrp,0
