user_id,uid,subnet_id,tweet_count
2527578570,198,59,19
1050519542,83,59,18
1871281655094415360,210,59,18
1873559289811578881,78,59,18
1297280634,27,59,18
84118206,89,59,18
213687954,47,59,17
504599160,165,59,17
596545242,163,59,17
1795073274554261504,235,59,17
618714950,84,59,17
1870112111940263936,155,59,17
315447660,91,59,17
1755594028555640832,218,59,17
1872286811600605186,22,59,17
1588042836947058689,250,59,17
263054520,79,59,17
1873518506928742400,104,59,16
456284582,103,59,16
43272359,35,59,16
293488188,164,59,16
1106967721,51,59,16
234997629,52,59,16
2786354980,87,59,16
1871940700591493120,11,59,15
1873777355703148548,98,59,15
1480877300606451713,77,59,15
509350641,48,59,15
1490354384072417284,174,59,15
1588049675449380864,4,59,15
381286549,94,59,15
1583433353763717121,88,59,15
3955985836,109,59,15
1698714430878756864,153,59,14
288577248,38,59,14
1871128144356556800,204,59,14
1873184147889618944,21,59,14
1870134632508686336,213,59,14
55067932,55,59,14
2317153306,197,59,14
1873399488657985536,112,59,14
1588051860841451522,5,59,14
103930770,54,59,13
37790064,123,59,13
1591607527988293632,74,59,13
2547382857,38,59,13
1555731049,185,59,13
1591610840330878976,94,59,13
1765047644282671105,223,59,13
1591604874541957120,73,59,13
1871141209475063809,205,59,13
152453890,140,59,13
1871883760452673536,205,59,13
1698714065609318401,154,59,12
1842661119099604993,184,59,12
310437352,2,59,12
2371054440,49,59,12
1873025786321747972,58,59,12
478196231,30,59,12
1870695316854362112,204,59,12
2344893373,141,59,12
2201022977,140,59,12
1847256006629396481,6,59,11
562062467,111,59,11
1591615539679330305,95,59,11
2376414570,112,59,11
384408291,89,59,11
490135410,110,59,11
1871141580318597120,206,59,11
1702157179,114,59,11
1874433564026269697,164,59,11
2269787682,46,59,10
550934129,86,59,10
2759577472,105,59,10
183774016,106,59,10
1588056355281117185,229,59,10
1873253202055041024,226,59,10
1824175399527649284,5,59,10
328222248,3,59,10
1874462336867827712,157,59,9
1873543983655534593,87,59,9
420051579,113,59,9
1296768224,37,59,8
1481941985497952258,7,59,8
1871060992886808576,177,59,8
1617401986613399552,163,59,8
1662648948346200064,199,59,8
1873762333618819072,97,59,8
1583458120734588929,61,59,8
1614099505925984257,153,59,8
1591619900035936257,124,59,7
1874840191707627520,225,59,7
1874825351869935616,224,59,7
1624736048071987200,186,59,7
1704183934488301571,180,59,7
1874344466569420800,134,59,7
1704068671117885440,173,59,7
1875132360083070976,36,59,6
4477606516,26,59,6
1583462554097049601,62,59,6
1624739439384862720,184,59,6
1873354835925315584,115,59,6
1617418127385718784,172,59,6
1966167368,225,59,6
49217403,82,59,6
1826889536846057472,152,59,6
1874338557847871488,132,59,5
1874772789606973440,244,59,5
1874651122608300032,109,59,5
